Date,Année,Mois,Numéro mois,Semestre,Numéro semaine,Jour,Numéro jour,Est jour semaine,Mois/Année
2019-01-01 00:00:00.000,2019,janvier,1,1,1,mardi,1,True,janvier (2019)
2019-01-02 00:00:00.000,2019,janvier,1,1,1,mercredi,2,True,janvier (2019)
2019-01-03 00:00:00.000,2019,janvier,1,1,1,jeudi,3,True,janvier (2019)
2019-01-04 00:00:00.000,2019,janvier,1,1,1,vendredi,4,True,janvier (2019)
2019-01-05 00:00:00.000,2019,janvier,1,1,1,samedi,5,False,janvier (2019)
2019-01-06 00:00:00.000,2019,janvier,1,1,1,dimanche,6,False,janvier (2019)
2019-01-07 00:00:00.000,2019,janvier,1,1,2,lundi,7,True,janvier (2019)
2019-01-08 00:00:00.000,2019,janvier,1,1,2,mardi,8,True,janvier (2019)
2019-01-09 00:00:00.000,2019,janvier,1,1,2,mercredi,9,True,janvier (2019)
2019-01-10 00:00:00.000,2019,janvier,1,1,2,jeudi,10,True,janvier (2019)
2019-01-11 00:00:00.000,2019,janvier,1,1,2,vendredi,11,True,janvier (2019)
2019-01-12 00:00:00.000,2019,janvier,1,1,2,samedi,12,False,janvier (2019)
2019-01-13 00:00:00.000,2019,janvier,1,1,2,dimanche,13,False,janvier (2019)
2019-01-14 00:00:00.000,2019,janvier,1,1,3,lundi,14,True,janvier (2019)
2019-01-15 00:00:00.000,2019,janvier,1,1,3,mardi,15,True,janvier (2019)
2019-01-16 00:00:00.000,2019,janvier,1,1,3,mercredi,16,True,janvier (2019)
2019-01-17 00:00:00.000,2019,janvier,1,1,3,jeudi,17,True,janvier (2019)
2019-01-18 00:00:00.000,2019,janvier,1,1,3,vendredi,18,True,janvier (2019)
2019-01-19 00:00:00.000,2019,janvier,1,1,3,samedi,19,False,janvier (2019)
2019-01-20 00:00:00.000,2019,janvier,1,1,3,dimanche,20,False,janvier (2019)
2019-01-21 00:00:00.000,2019,janvier,1,1,4,lundi,21,True,janvier (2019)
2019-01-22 00:00:00.000,2019,janvier,1,1,4,mardi,22,True,janvier (2019)
2019-01-23 00:00:00.000,2019,janvier,1,1,4,mercredi,23,True,janvier (2019)
2019-01-24 00:00:00.000,2019,janvier,1,1,4,jeudi,24,True,janvier (2019)
2019-01-25 00:00:00.000,2019,janvier,1,1,4,vendredi,25,True,janvier (2019)
2019-01-26 00:00:00.000,2019,janvier,1,1,4,samedi,26,False,janvier (2019)
2019-01-27 00:00:00.000,2019,janvier,1,1,4,dimanche,27,False,janvier (2019)
2019-01-28 00:00:00.000,2019,janvier,1,1,5,lundi,28,True,janvier (2019)
2019-01-29 00:00:00.000,2019,janvier,1,1,5,mardi,29,True,janvier (2019)
2019-01-30 00:00:00.000,2019,janvier,1,1,5,mercredi,30,True,janvier (2019)
2019-01-31 00:00:00.000,2019,janvier,1,1,5,jeudi,31,True,janvier (2019)
2019-02-01 00:00:00.000,2019,fevrier,2,1,5,vendredi,1,True,fevrier (2019)
2019-02-02 00:00:00.000,2019,fevrier,2,1,5,samedi,2,False,fevrier (2019)
2019-02-03 00:00:00.000,2019,fevrier,2,1,5,dimanche,3,False,fevrier (2019)
2019-02-04 00:00:00.000,2019,fevrier,2,1,6,lundi,4,True,fevrier (2019)
2019-02-05 00:00:00.000,2019,fevrier,2,1,6,mardi,5,True,fevrier (2019)
2019-02-06 00:00:00.000,2019,fevrier,2,1,6,mercredi,6,True,fevrier (2019)
2019-02-07 00:00:00.000,2019,fevrier,2,1,6,jeudi,7,True,fevrier (2019)
2019-02-08 00:00:00.000,2019,fevrier,2,1,6,vendredi,8,True,fevrier (2019)
2019-02-09 00:00:00.000,2019,fevrier,2,1,6,samedi,9,False,fevrier (2019)
2019-02-10 00:00:00.000,2019,fevrier,2,1,6,dimanche,10,False,fevrier (2019)
2019-02-11 00:00:00.000,2019,fevrier,2,1,7,lundi,11,True,fevrier (2019)
2019-02-12 00:00:00.000,2019,fevrier,2,1,7,mardi,12,True,fevrier (2019)
2019-02-13 00:00:00.000,2019,fevrier,2,1,7,mercredi,13,True,fevrier (2019)
2019-02-14 00:00:00.000,2019,fevrier,2,1,7,jeudi,14,True,fevrier (2019)
2019-02-15 00:00:00.000,2019,fevrier,2,1,7,vendredi,15,True,fevrier (2019)
2019-02-16 00:00:00.000,2019,fevrier,2,1,7,samedi,16,False,fevrier (2019)
2019-02-17 00:00:00.000,2019,fevrier,2,1,7,dimanche,17,False,fevrier (2019)
2019-02-18 00:00:00.000,2019,fevrier,2,1,8,lundi,18,True,fevrier (2019)
2019-02-19 00:00:00.000,2019,fevrier,2,1,8,mardi,19,True,fevrier (2019)
2019-02-20 00:00:00.000,2019,fevrier,2,1,8,mercredi,20,True,fevrier (2019)
2019-02-21 00:00:00.000,2019,fevrier,2,1,8,jeudi,21,True,fevrier (2019)
2019-02-22 00:00:00.000,2019,fevrier,2,1,8,vendredi,22,True,fevrier (2019)
2019-02-23 00:00:00.000,2019,fevrier,2,1,8,samedi,23,False,fevrier (2019)
2019-02-24 00:00:00.000,2019,fevrier,2,1,8,dimanche,24,False,fevrier (2019)
2019-02-25 00:00:00.000,2019,fevrier,2,1,9,lundi,25,True,fevrier (2019)
2019-02-26 00:00:00.000,2019,fevrier,2,1,9,mardi,26,True,fevrier (2019)
2019-02-27 00:00:00.000,2019,fevrier,2,1,9,mercredi,27,True,fevrier (2019)
2019-02-28 00:00:00.000,2019,fevrier,2,1,9,jeudi,28,True,fevrier (2019)
2019-03-01 00:00:00.000,2019,mars,3,1,9,vendredi,1,True,mars (2019)
2019-03-02 00:00:00.000,2019,mars,3,1,9,samedi,2,False,mars (2019)
2019-03-03 00:00:00.000,2019,mars,3,1,9,dimanche,3,False,mars (2019)
2019-03-04 00:00:00.000,2019,mars,3,1,10,lundi,4,True,mars (2019)
2019-03-05 00:00:00.000,2019,mars,3,1,10,mardi,5,True,mars (2019)
2019-03-06 00:00:00.000,2019,mars,3,1,10,mercredi,6,True,mars (2019)
2019-03-07 00:00:00.000,2019,mars,3,1,10,jeudi,7,True,mars (2019)
2019-03-08 00:00:00.000,2019,mars,3,1,10,vendredi,8,True,mars (2019)
2019-03-09 00:00:00.000,2019,mars,3,1,10,samedi,9,False,mars (2019)
2019-03-10 00:00:00.000,2019,mars,3,1,10,dimanche,10,False,mars (2019)
2019-03-11 00:00:00.000,2019,mars,3,1,11,lundi,11,True,mars (2019)
2019-03-12 00:00:00.000,2019,mars,3,1,11,mardi,12,True,mars (2019)
2019-03-13 00:00:00.000,2019,mars,3,1,11,mercredi,13,True,mars (2019)
2019-03-14 00:00:00.000,2019,mars,3,1,11,jeudi,14,True,mars (2019)
2019-03-15 00:00:00.000,2019,mars,3,1,11,vendredi,15,True,mars (2019)
2019-03-16 00:00:00.000,2019,mars,3,1,11,samedi,16,False,mars (2019)
2019-03-17 00:00:00.000,2019,mars,3,1,11,dimanche,17,False,mars (2019)
2019-03-18 00:00:00.000,2019,mars,3,1,12,lundi,18,True,mars (2019)
2019-03-19 00:00:00.000,2019,mars,3,1,12,mardi,19,True,mars (2019)
2019-03-20 00:00:00.000,2019,mars,3,1,12,mercredi,20,True,mars (2019)
