id_conso,id_magasin,id_produit,date_conso,montant_ca,montant_vente,montant_marge_brute,type_conso
1,1,1,08/2024,337.3,112.0,0.21,O
2,1,1,04/2024,271.0,90.0,0.7,O
3,1,1,12/2024,262.0,87.0,0.94,O
4,1,1,02/2024,120.5,40.0,0.65,O
5,1,1,01/2024,268.0,89.0,0.4,O
6,1,1,07/2024,66.3,22.0,0.45,O
7,1,1,06/2024,286.1,95.0,0.33,O
8,1,1,05/2024,144.6,48.0,0.24,O
9,1,1,03/2024,102.4,34.0,0.25,O
10,1,1,11/2024,192.7,64.0,0.35,O
11,1,1,10/2024,322.2,107.0,0.39,O
12,1,1,09/2024,180.7,60.0,0.37,O
13,1,1,08/2024,397.5,132.0,0.3,R
14,1,1,04/2024,385.5,128.0,0.6,R
15,1,1,12/2024,295.1,98.0,0.9,R
16,1,1,02/2024,120.5,40.0,0.7,R
17,1,1,01/2024,165.6,55.0,0.4,R
18,1,1,07/2024,69.3,23.0,0.4,R
19,1,1,06/2024,283.1,94.0,0.5,R
20,1,1,05/2024,156.6,52.0,0.5,R
21,1,1,03/2024,108.4,36.0,0.3,R
22,1,1,11/2024,108.4,36.0,0.3,R
23,1,1,10/2024,316.2,105.0,0.3,R
24,1,1,09/2024,195.7,65.0,0.4,R
25,2,1,08/2024,149.2,69.0,0.58,O
26,2,1,04/2024,121.1,56.0,0.71,O
27,2,1,12/2024,151.4,70.0,0.87,O
28,2,1,02/2024,179.5,83.0,1.9,O
29,2,1,01/2024,90.8,42.0,0.48,O
30,2,1,07/2024,106.0,49.0,1.21,O
31,2,1,06/2024,64.9,30.0,1.0,O
32,2,1,05/2024,116.8,54.0,2.14,O
33,2,1,03/2024,114.6,53.0,0.8,O
34,2,1,11/2024,90.8,42.0,3.13,O
35,2,1,10/2024,188.2,87.0,0.33,O
36,2,1,09/2024,60.6,28.0,0.79,O
37,2,1,08/2024,84.4,39.0,0.6,R
38,2,1,04/2024,201.1,93.0,1.0,R
39,2,1,12/2024,175.2,81.0,1.2,R
40,2,1,02/2024,365.5,169.0,0.9,R
41,2,1,01/2024,47.6,22.0,0.6,R
42,2,1,07/2024,134.1,62.0,1.0,R
43,2,1,06/2024,69.2,32.0,1.0,R
44,2,1,05/2024,108.1,50.0,1.0,R
45,2,1,03/2024,97.3,45.0,0.5,R
46,2,1,11/2024,97.3,45.0,1.5,R
47,2,1,10/2024,138.4,64.0,0.6,R
48,2,1,09/2024,58.4,27.0,0.5,R
49,3,1,08/2024,51.4,15.0,1.22,O
50,3,1,04/2024,65.1,19.0,0.52,O
51,3,1,12/2024,61.6,18.0,0.32,O
52,3,1,02/2024,20.5,6.0,0.98,O
53,3,1,01/2024,20.5,6.0,0.43,O
54,3,1,07/2024,17.1,5.0,0.24,O
55,3,1,06/2024,27.4,8.0,1.08,O
56,3,1,05/2024,47.9,14.0,0.63,O
57,3,1,03/2024,37.7,11.0,0.89,O
58,3,1,11/2024,24.0,7.0,0.7,O
59,3,1,10/2024,17.1,5.0,0.24,O
60,3,1,09/2024,44.5,13.0,0.91,O
61,3,1,08/2024,34.2,10.0,1.4,R
62,3,1,04/2024,61.6,18.0,0.4,R
63,3,1,12/2024,99.3,29.0,0.3,R
64,3,1,02/2024,20.5,6.0,0.8,R
65,3,1,01/2024,10.3,3.0,0.6,R
66,3,1,07/2024,13.7,4.0,0.4,R
67,3,1,06/2024,58.2,17.0,0.9,R
68,3,1,05/2024,47.9,14.0,0.5,R
69,3,1,03/2024,34.2,10.0,0.9,R
70,3,1,11/2024,20.5,6.0,1.0,R
71,3,1,10/2024,10.3,3.0,0.4,R
72,3,1,09/2024,44.5,13.0,0.8,R
73,4,1,08/2024,272.0,88.0,0.59,O
74,4,1,04/2024,191.6,62.0,1.15,O
75,4,1,12/2024,318.3,103.0,2.02,O
76,4,1,02/2024,265.8,86.0,0.98,O
77,4,1,01/2024,287.4,93.0,1.21,O
78,4,1,07/2024,200.9,65.0,0.82,O
79,4,1,06/2024,132.9,43.0,0.41,O
80,4,1,05/2024,114.4,37.0,0.84,O
81,4,1,03/2024,145.3,47.0,0.56,O
82,4,1,11/2024,129.8,42.0,2.02,O
83,4,1,10/2024,204.0,66.0,2.22,O
84,4,1,09/2024,213.3,69.0,0.7,O
85,4,1,08/2024,148.4,48.0,0.9,R
86,4,1,04/2024,222.5,72.0,1.0,R
87,4,1,12/2024,299.8,97.0,1.6,R
88,4,1,02/2024,139.1,45.0,1.9,R
89,4,1,01/2024,151.4,49.0,1.1,R
90,4,1,07/2024,200.9,65.0,1.3,R
91,4,1,06/2024,231.8,75.0,0.7,R
92,4,1,05/2024,77.3,25.0,1.5,R
93,4,1,03/2024,176.2,57.0,0.9,R
94,4,1,11/2024,157.6,51.0,1.0,R
95,4,1,10/2024,163.8,53.0,1.8,R
96,4,1,09/2024,176.2,57.0,1.1,R
97,5,1,08/2024,439.5,93.0,0.55,O
98,5,1,04/2024,519.9,110.0,1.05,O
99,5,1,12/2024,297.7,63.0,0.92,O
100,5,1,02/2024,283.6,60.0,1.94,O
101,5,1,01/2024,354.5,75.0,1.93,O
102,5,1,07/2024,99.2,21.0,2.92,O
103,5,1,06/2024,269.4,57.0,0.99,O
104,5,1,05/2024,198.5,42.0,1.45,O
105,5,1,03/2024,198.5,42.0,1.78,O
106,5,1,11/2024,132.3,28.0,0.83,O
107,5,1,10/2024,411.2,87.0,0.74,O
108,5,1,09/2024,378.1,80.0,1.84,O
109,5,1,08/2024,387.5,82.0,0.8,R
110,5,1,04/2024,326.1,69.0,0.9,R
111,5,1,12/2024,179.6,38.0,1.8,R
112,5,1,02/2024,354.5,75.0,1.7,R
113,5,1,01/2024,274.1,58.0,1.9,R
114,5,1,07/2024,122.9,26.0,3.5,R
115,5,1,06/2024,255.2,54.0,0.9,R
116,5,1,05/2024,231.6,49.0,1.3,R
117,5,1,03/2024,146.5,31.0,1.7,R
118,5,1,11/2024,122.9,26.0,1.2,R
119,5,1,10/2024,250.5,53.0,1.3,R
120,5,1,09/2024,378.1,80.0,2.0,R
121,6,1,08/2024,204.8,60.0,2.47,O
122,6,1,04/2024,180.9,53.0,1.13,O
123,6,1,12/2024,440.3,129.0,1.87,O
124,6,1,02/2024,320.9,94.0,1.0,O
125,6,1,01/2024,122.9,36.0,1.0,O
126,6,1,07/2024,109.2,32.0,2.5,O
127,6,1,06/2024,249.2,73.0,2.44,O
128,6,1,05/2024,109.2,32.0,1.68,O
129,6,1,03/2024,153.6,45.0,2.69,O
130,6,1,11/2024,177.5,52.0,3.2,O
131,6,1,10/2024,129.7,38.0,3.11,O
132,6,1,09/2024,105.8,31.0,2.33,O
133,6,1,08/2024,225.3,66.0,2.9,R
134,6,1,04/2024,160.4,47.0,2.1,R
135,6,1,12/2024,522.2,153.0,1.7,R
136,6,1,02/2024,375.5,110.0,1.5,R
137,6,1,01/2024,78.5,23.0,1.5,R
138,6,1,07/2024,81.9,24.0,3.1,R
139,6,1,06/2024,129.7,38.0,2.3,R
140,6,1,05/2024,133.1,39.0,1.8,R
141,6,1,03/2024,191.1,56.0,2.1,R
142,6,1,11/2024,218.5,64.0,3.1,R
143,6,1,10/2024,198.0,58.0,4.5,R
144,6,1,09/2024,68.3,20.0,2.0,R
145,7,1,08/2024,177.0,51.0,3.29,O
146,7,1,04/2024,298.5,86.0,1.91,O
147,7,1,12/2024,270.8,78.0,1.28,O
148,7,1,02/2024,152.7,44.0,2.17,O
149,7,1,01/2024,142.3,41.0,2.41,O
150,7,1,07/2024,135.4,39.0,1.31,O
151,7,1,06/2024,190.9,55.0,1.6,O
152,7,1,05/2024,208.3,60.0,6.22,O
153,7,1,03/2024,93.7,27.0,3.29,O
154,7,1,11/2024,145.8,42.0,3.68,O
155,7,1,10/2024,225.6,65.0,1.39,O
156,7,1,09/2024,204.8,59.0,4.25,O
157,7,1,08/2024,149.3,43.0,2.6,R
158,7,1,04/2024,381.8,110.0,1.5,R
159,7,1,12/2024,291.6,84.0,1.0,R
160,7,1,02/2024,177.0,51.0,2.1,R
161,7,1,01/2024,180.5,52.0,1.9,R
162,7,1,07/2024,66.0,19.0,2.2,R
163,7,1,06/2024,243.0,70.0,1.5,R
164,7,1,05/2024,236.0,68.0,5.2,R
165,7,1,03/2024,93.7,27.0,2.9,R
166,7,1,11/2024,135.4,39.0,3.6,R
167,7,1,10/2024,166.6,48.0,2.5,R
168,7,1,09/2024,131.9,38.0,2.9,R
169,8,1,08/2024,163.5,60.0,1.05,O
170,8,1,04/2024,171.6,63.0,0.6,O
171,8,1,12/2024,117.2,43.0,0.77,O
172,8,1,02/2024,117.2,43.0,1.05,O
173,8,1,01/2024,196.2,72.0,2.54,O
174,8,1,07/2024,130.8,48.0,1.15,O
175,8,1,06/2024,95.4,35.0,0.79,O
176,8,1,05/2024,98.1,36.0,0.8,O
177,8,1,03/2024,81.7,30.0,0.67,O
178,8,1,11/2024,95.4,35.0,2.12,O
179,8,1,10/2024,168.9,62.0,1.4,O
180,8,1,09/2024,207.1,76.0,1.71,O
181,8,1,08/2024,185.3,68.0,1.7,R
182,8,1,04/2024,188.0,69.0,0.7,R
183,8,1,12/2024,95.4,35.0,1.1,R
